Compound,k2,log_k2,Source,Notes,SMILES
T0309 + TCO,42481538359.67875,10.628200235216132,Svatunek computational data,Calculated from ΔG‡ = 12.36 kJ/mol,FC(F)c2nnc(c1ccccc1)nn2
T1189 + TCO,42427801716.873146,10.627650530541919,Svatunek computational data,Calculated from ΔG‡ = 12.36 kJ/mol,c1cc(C(=O)O)ccc1c2nnc(c1ncccn1)nn2
T0887 + TCO,42320532261.46748,10.626551121143496,Svatunek computational data,Calculated from ΔG‡ = 12.37 kJ/mol,c1cc(NC(=O)C)ccc1c2nnc(C(F)(F)F)nn2
T1000 + TCO,41957840654.72682,10.622813129286348,Svatunek computational data,Calculated from ΔG‡ = 12.39 kJ/mol,c1cc(N(=O)=O)ccc1c2nnc(c1ncccc1)nn2
T1163 + TCO,41936602914.08978,10.622593247411663,Svatunek computational data,Calculated from ΔG‡ = 12.39 kJ/mol,CC(=O)c2nnc(C(C)=C)nn2
T1403 + TCO,41936602912.88286,10.622593247399164,Svatunek computational data,Calculated from ΔG‡ = 12.39 kJ/mol,c1cc(C(=O)[O-])ccc1c2nnc(C(F)F)nn2
T1323 + TCO,41798819383.98112,10.621164015213711,Svatunek computational data,Calculated from ΔG‡ = 12.4 kJ/mol,CC(=O)Nc2nnc(C(=O)C)nn2
T0076 + TCO,41756515593.78175,10.620724251451843,Svatunek computational data,Calculated from ΔG‡ = 12.4 kJ/mol,c1cnccc1c2nnc(c1ncccc1)nn2
T0286 + TCO,41724815852.857,10.620394428652315,Svatunek computational data,Calculated from ΔG‡ = 12.4 kJ/mol,FCc2nnc(c1ncccc1)nn2
T0100 + TCO,41693140174.60495,10.620064605827787,Svatunek computational data,Calculated from ΔG‡ = 12.4 kJ/mol,c1cncnc1c2nnc(c1ccccc1)nn2
T0281 + TCO,41598257352.471954,10.619075137404204,Svatunek computational data,Calculated from ΔG‡ = 12.41 kJ/mol,FCc2nnc(F)nn2
T0115 + TCO,41210446761.11947,10.61500732272253,Svatunek computational data,Calculated from ΔG‡ = 12.43 kJ/mol,c1ncncc1c2nnc(c1ncccc1)nn2
T0567 + TCO,40929733547.848145,10.612038917401783,Svatunek computational data,Calculated from ΔG‡ = 12.45 kJ/mol,COC(=C)c2nnc(Cl)nn2
T0620 + TCO,40836588039.74033,10.611049448953201,Svatunek computational data,Calculated from ΔG‡ = 12.46 kJ/mol,CC(=C)c2nnc(C(F)F)nn2
T1259 + TCO,40815917843.12225,10.610829567091015,Svatunek computational data,Calculated from ΔG‡ = 12.46 kJ/mol,c1cc(C(=O)OC)ccc1c2nnc(C(OC)=C)nn2
T1165 + TCO,40517373035.342865,10.607641279895583,Svatunek computational data,Calculated from ΔG‡ = 12.48 kJ/mol,CC(=O)c2nnc(c1cscc1)nn2
T0015 + TCO,40414933683.90949,10.606541870509659,Svatunek computational data,Calculated from ΔG‡ = 12.48 kJ/mol,Fc2nnc(F)nn2
T0020 + TCO,40343380281.246376,10.605772283960759,Svatunek computational data,Calculated from ΔG‡ = 12.49 kJ/mol,Clc2nnc(F)nn2
T1392 + TCO,40302549514.44428,10.60533252021139,Svatunek computational data,Calculated from ΔG‡ = 12.49 kJ/mol,c1cc(C(=O)[O-])ccc1c2nnc(c1ncncc1)nn2
T0356 + TCO,40109166987.8265,10.603243642376883,Svatunek computational data,Calculated from ΔG‡ = 12.5 kJ/mol,C#Cc2nnc(F)nn2
T1094 + TCO,40088864988.8686,10.603023760514697,Svatunek computational data,Calculated from ΔG‡ = 12.5 kJ/mol,c1cc(C(=O)N)ccc1c2nnc(c1ncccn1)nn2
T0224 + TCO,39967268607.16087,10.601704469266588,Svatunek computational data,Calculated from ΔG‡ = 12.51 kJ/mol,c1(O)ccccc1c2nnc(c1ncncc1)nn2
T0245 + TCO,39957152237.89706,10.601594528316745,Svatunek computational data,Calculated from ΔG‡ = 12.51 kJ/mol,c1c(O)cccc1c2nnc(c1ncncc1)nn2
T0079 + TCO,39926818494.67158,10.601264705504718,Svatunek computational data,Calculated from ΔG‡ = 12.51 kJ/mol,n1cccnc1c2nncnn2
T0819 + TCO,39896507779.513084,10.600934882692691,Svatunek computational data,Calculated from ΔG‡ = 12.51 kJ/mol,NC(=O)c2nnc(c1cocc1)nn2
